순번,민원제목,민원내용,민원등록일,민원수정일,민원답변일,처리부서,진행상태,민원인주소_법정동
143,출산 장려금,"익산시 저출산대책 및 출산장려 지원조례는 출산?양육 및 교육에 소요되는 경제적 부담을 경감하고 출산장려를 위한 시책사업 및 출산을 유도하기 위한 장려금 이라는데..1월, 2월, 3월 출생아는 익산 출생자가 아닌가요?? 똑같이 세금을 내고 익산에 살고있는 사람들에게 이런 차별이라니요??17년도 초에 아이를 출산한 사람은 익산시의 저출산 및 출산장려정책에 이바지한 사람들이 아닌가요??차이가 적은것도 아니고 같은해 출생아인데 이런 차별적 대우를 받아야 하나요??완전 소급이 아니면 부분적 소급을 통해서라도 차별의 폭을 줄이는 방법도 있는데 다른 사람의 민원은 무시하시는건가요??정말 민원 무시 하네요   무조건 해당 사항이 안된다고 하는 당신들은 너무 너무 하네요 정말 화가 나네요. ",2017-04-04,2017-04-04,2017-04-07,여성보육과,처리완료,오목로
144,가온초등학교 신호등,안녕하세요 가온초등학교앞 신호등이 아침 9시면 꺼집니다위치는 4차주공아파트 코사마트있는쪽 신호등입니다?가온초 병설유치원에 다니는 아이들은 9시 이후에도 등원하는아이들이 있는데요  거긴 차들이 많이 분비데는 아니지만 차들이 비교적 빨리 가는경우를 종종보았습니다 학부모로서놀라는경우가 많아요 적어도 오전 10시까진 신호등을 켜주었으면 좋겠어요  빨리 시행해주세요!수고하세요!,2017-04-04,2017-04-04,2017-04-06,교통행정과,처리완료,오목로
145,남부권노인종합복지관 식당식단,"어머님께서 남부권노인종합복지관을 이용하고 계시는데요.작년 12월 영양사님이 바뀐 이후로 식단이 형편없다고 하십니다.한두분의 의견이 아니라 그 기관을 이용하시는 어르신들이 불만이 많은걸로 알고 있고요....여러번 영양사님께 말을 했다고 하는데 나아지질 않는다고 합니다.먼저 계셨던 영양사님이 작성하신 식단표가 있을텐데 같은 예산으로 어떻게 형편없는 식단이 나올 수 있나요??각 영양사님마다 개성이 있고, 특성이 있겠지만 어르신들이 이용하시는데 불편함을 줘서는 안되는것 아닌가요?돈이 없어서 밥을 못 먹는게 아닌데.... 어르신들이 서로 어우러져 담소를 나누며 식사를 하기위해 이용하는 기관인데 어르신들이 불편하지 않아야 하는것 이라 사료됩니다.식단에 신경을 써 주시고 맛있는 식사가 될 수 있도록 관심 부탁드립니다.",2017-02-23,2017-02-23,2017-02-24,경로장애인과,처리완료,오목로
146,제설작업,오늘 겨울눈이 와서 쌓이기 시작했읍니다.대전시 논산시 익산시 부여군을  거쳐 출근을 하는데익산시는 정말 제설작업을 하지 않으시는것 같습니다.용안 삼거리 함라면등 제가 보이는곳은 큰길 작은길 할것없이 너무 않되있습니다.올겨울  또 어떻게 익산시 눈길빙판길을 다녀야할지 걱정이 많습니다.제발 다른 시도처럼 기초적인 제설작업을 간곡히 부탁드립니다.....,2016-12-29,2016-12-29,2016-12-30,도로관리과,처리완료,오목로
147,가로등문의,익산시 성당면 강변로 1001번지 주택 앞 가로등이 안켜집니다 전등이 나간건지 모르겠습니다.어디에 넣을지 몰라 여기에 올립니다.,2016-12-20,2016-12-20,2016-12-23,건설과,처리완료,오목로
148,익산시는 유기동물 보호소 관리좀 하세요 일 안하세요?,최근 인터넷에 떠도는 익산 유기 동물 보호소에서 관리하는 동물들 사진이 그야말로 가관이더군요 익산시는 시 이름을 달고 운영하는 유기 동물 보호소를 관리도 안합니까? 한 번이라도 관심있게 들여다 봤으면 동물들이 그런 끔찍한 환경에서 생활했을까요? 더불어 그 글에 직원들 성과제 지급때문에 동물들을 무작위로 잡아들여 무더기 안락사 시키고 다른 동물처럼 보이기 위해 사진 각도를 달리 찍어 다른 개인것처럼 보이게 한 뒤 돈을 다시 타먹는다던데 이는 사기꾼에게 혈세가 낭비된게 아닙니까? 익산시는 유기 동물 보호소를 엄격히 관리하고 성과제를 폐지하세요,2016-11-13,2016-11-13,2016-11-17,축산과,처리완료,오목로
149,익산 유기견 보호센터 민원,오늘 Sns에 유기견보호센터에서 공고사진 올린걸 보았는데요이건 엄연히 유기견보호센터라는 이름만 포장한 학대장같습니다강아지 올무?라고해야되는지 그거채우고 잡아댕긴듯 찍힌모습 막대지팡이가지고 학대햇엇는지 그걸 강아지가 물고 찍힌모습 새끼강아지를 철장에 두었는데 철장구멍이 커서 발로 계속 서있는 모습 뒷덜미를 너무 쌔게 잡아 눈이 뒤집어까지려는 모습 등등 너무 불쾌하고 이런 사람들이 유기견보호센터이름을 달고 이런학대를 하는지 모르겠네요이런게 퍼지고 이런모습들이 계속보인다면 익산이미지도 더불어 안좋아 질거 같습니다.정말 동물을 사랑해서 유기견보호센터세워서 하시눈분들도 있을텐데 이런 쓰레기같은 사람들이 보호센터를 빙자해 학대를 하며 이름에 먹칠을 하다니요.제재좀 가해줬으면 좋겠구요 맘같아선 아예 보호센터를 못하게끔 됐음 좋겠네요. 지금하는 보호센터 닫아도 다시 보호센터 다른곳에 차려서 애들 학대할까 두렵네요. 이번보호센터말고도 다른보호센터도 확인해봐야될거 같기도 합니다.,2016-11-09,2016-11-09,2016-11-10,축산과,처리완료,오목로
150,철제 이정표의 고정고리가 위험합니다.,약촌 오거리에 설치되어 있는 이정표의 고정고리가 떨어진 상태로 수개월 동안 매달려 있습니다.바쁘시겠지만 수리가 필요할 것 같아서 몇자 올립니다.,2016-11-03,2016-11-03,2016-11-07,도로관리과,처리완료,오목로
151,삼기에 있는 축구장 지반 붕괴,삼기면 연동리 산 181-4번지에 있는 축구장인데요몇주전에 축구를 하다가 코너 부분으로 달려가던 중에 지반이 붕괴 된 것을 보고 피하지 못해서 밑으로 빠지며 찰과상을 당했어요보수가 필요해보이네요무너진지 꽤 됐는데도 아직까지 보수는 되지 않고 범위가 넓어지고 있어요신속히 조치해주시고 사후 관리도 철저히 해주세요,2016-10-20,2016-10-20,2016-10-21,산림공원과,처리완료,오목로
152,9월 28일 저녁 익산 마을회관에서 잉글리시십독하트리 잡아먹은 사람들 가중처벌 바랍니다.,분명 견주분이  그 이전에  그 좁은 지역에서실종신고를 했고 수사중인 사건이였으며 플래카드며전단지며 누구나 알 수 있게 이를 대대로 홍보했음에도 불구하고(또 외견상만보더라도 애완용임을 쉽게 인식할 수 있는견종이었음에도) 하트를 불에 태워 먹은 익산 마을회관 피의자들 가중처벌 바랍니다.,2016-10-05,2016-10-05,2016-10-06,축산과,처리완료,오목로
153,어찌 사람이 못할짓을. .,어떻게 경찰이 오고 견주가 찾아다니는걸 알면서도 그날 저녁에 하트를 먹을수 있는지. . 진짜 인간이란 사람들이 참. . 그 4명 벌금으로 끝나지않게 해주세요.  꼭지금 견주님과 그 가족들이 얼마나 힘들고 고통속에 있는지다시 한번 생각해주시고 꼭 처벌해주세요. .,2016-10-04,2016-10-04,2016-10-06,축산과,처리완료,오목로
154,버스,안녕하세요 공무를 집행하느라 수고가 많으십니다.다름이 아니라 저는 버스를 많이 이용하고 다닙니다.익산은 버스시간이 다른지역에.비해 빨리 끊겨도 인구가 별로 없으니.이해하고 타는데 약속된시간을 지키지 않는것은 무슨경우입니까?분명히 10시 4분차면 10시 되기도 전에 가고있고.방학엔 막차까지 없는데 마지막 10시 18분차가.10시 10분에.가다니요..정말 참고참고 참다가 올립니다약속은 지키라고있는건데 아침에는 월등히 늦게오고 저녁에는 매우 빨리가니 너무 화가나서 올립니다.그냥 단순히 읽기만 하고 넘어가시기보다는 뭔가 주의를 주시고 다시는 이런일이 없길 바랍니다.대중교통을 이용하라면서 대중교통이 약속을 지키지않는 경우는 매우 부당합니다.다시는 102번이 시간약속을 지키지 않고 먼저 가는일이 없길바랍니다.해당 게시물이 '부조리 신문고'에서 이동 되었습니다.,2016-08-25,2016-08-25,2016-08-29,교통행정과,처리완료,오목로
155,갑작스런 주민세 인상???,주민세 용지를 보고 금액은 만원 단위가 크게 신경을 쓰지는 않았지만...기존 금액을 보고 이번에 청구된금액을 보니 황당하고 어이가 없네요아무런 이야기도 없이 갑작스럽게 올려 청구한다는것이 어이가 없군요다른 답변을 보니 지자체가 힘들다하는데 왜 매번 도로쪽 공사는 하던곳 또하고 멀쩡한곳 뜯어 또 공사하는지이유을 알수가 없더군요주민세 올리면 지자체가 힘들었던것이 해결이 되는지 궁금하네요...,2016-08-19,2016-08-19,2016-08-19,세무과,처리완료,오목로
156,너무나 답답합니다.,"신동 금호어울림에사는 입주민 인터넷카페 운영자입니다.아파트정문앞 포인트마트의 인도점유 상황입니다.이를 어찌해야 할까요?너무도 지저분하고 상식을 벗어난 행태에 많은입주민들의 원성이 높은나, 꿈쩍하지않는 빼짱영업에 어쳐구니없고 황당할 뿐입니다.입주민들의 개개인이 부딪쳐 언성을 높인다고 해결될수없는 일이기에 부탁을 드립니다.현장을 꼭 확인하시고 상가밖으로 적재된 모든물건을 치워 깨끗한 인도를 만들어 주세요.",2016-07-11,2016-07-11,2016-07-29,도로관리과,처리완료,오목로
157,안전사고 예방조치 - 도로 이정표,"도로 방향 이정표가 떨어질 우려가 있으니 즉시 조치해 주세요~위치 - 약촌오거리 (중앙 체육공원 -> 배산공원 방향)내용 - 위 방향으로 약촌오거리에 접근하다보면 보이는 3개의 방향 이정표 중 가운데 이정표가         3개의 연결고리 중 1개가 완전히 끊어져있어 떨어질 우려가 있습니다.         바람등의 영향으로 떨어지게 될 경우 신호대기로 해당 차로에 대기하고 있던 차량 위로 떨어지는 경우에는         큰 인사사고까지 우려되는 상황이니 즉시 조치가 필요한 상황입니다.         첨부된 사진은 1개월전에 찍어놓은 사진인데, 그래도 주기적으로 점검을 통해 즉시 조치하겠거니 하고         신고하지 않았었는데 1개월이 지난 후에 지나가다 보니 여전히 그대로 있어 안전사고를 예방하기 위한         차원으로 신고합니다.",2016-06-02,2016-06-02,2016-06-07,도로관리과,처리완료,오목로
158,어양동 어양공원 근처,어양동 하나로 도로 어양공원 근처인도에 불법으로 설치된 불법현수막을 신고합니다.,2016-02-29,2016-02-29,2016-03-09,도로관리과,처리완료,오목로
159,주차공간 관련 문의합니다,어양동 643-10번지 우리원룸에 살고있는 주민입니다.그 근처에 원룸들이 많은데 원룸과 원룸 사이에 있는 주차공간은 사유지로 되있어서 주차가 불가한가요?원룸들에 이어져있는 길에만 한쪽으로 주차가 가능한가요?,2016-02-21,2016-02-21,2016-02-24,교통행정과,처리완료,오목로
160,도시 미관 해치는 불법광고물 5,"영등동 홈플러스 앞 도시 미관을 해치는 불법광고물을 신고합니다,2016년1월30일 공연이 끝난 불법광고물이 흉물스럽게 붙어 있어신고합니다.",2016-02-11,2016-02-11,2016-02-17,도로관리과,처리완료,오목로
161,택시기사를 배려한 생활체육시설 설치,택시기사를 배려한 생활체육시설 설치,2016-06-30,,2017-02-27,체육청소년과,처리완료,오목로
162,찾아가는 자전거수리센터 운영 등을 통한 주민편의 제고 방안,찾아가는 자전거수리센터 운영 등을 통한 주민편의 제고 방안,2016-04-13,,2016-05-16,도시재생과,처리완료,오목로
163,자동차세 연납 할인제도 차량소유자 휴대폰 문자알림 서비스로 세테크 도우미가 된다,자동차세 연납 할인제도 차량소유자 휴대폰 문자알림 서비스로 세테크 도우미가 된다,2016-01-19,,2016-02-22,세정과,처리완료,오목로
164,2018 새만금 중심 김제 발전제안 16,"민원실, 주민센타 등 민원인 대면 데스크 및 서류작성대에 실종 아동의 얼굴을 인쇄한 안내문을 게시",2018-03-05,,2018-03-08,민원소통과,처리완료,오목로
165,안전재난과(재해대책팀)에 문의합니다.,"저는 광주광역시에 거주하는 장서용박사입니다.


저는 안전과 관련하여 행정안전부 정책자문위원과 풍수해저감종합계획 전문위원으로 활동하고 있습니다.
안전재난과(재해대책팀)의 사전재해영향성검토위원회에서 제가 가진 지식을 활용하여 봉사하고 싶습시다.
아울러 두달에 한번씩 참석하는 행정안전부 정책자문회의와 풍수해저감종합계획 위원회에서 저희 지역의 현안사항들을 중앙에 알리는 가교 역할을 해보고 싶습시다.
감사합니다.

주요경력 :

경희대학교 토목공학과 졸업 (공학사)
연세대학교 대학원 토목공학과 졸업 (공학석사)
전남대학교 대학원 토목공학과 졸업 (공학박사)
행정안전부 정책자문위원 (현재)
행정안전부 풍수해저감종합계획 전문위원 (현재)
광주광역시 사전재해영향성검토위원 (현재)
동강대학교 토목조경학과 겸임교수 (현재)",2018-09-28,,,,처리중,오목로
166,장수읍 대성리 1412-19천 정비 좀 해주세요 제발,"p불철주야 고생하시는 공무원님 고생 많습니다./p

p다름이 아니오라/p

p저는 장수읍 대성리 411-3번지 사는 주민입니다./p

p동네는 대성리 대덕이라고 하는데 몇년 전에도 같은 민원을 제기했었는데/p

p몇년째 그대로더라구요../p

p이번에 마직막 희망을 가지고 다시한번 요청드립니다./p

p동네에 개울물이 대성리 338-2번지 옆 1412-19번지 개천으로 흐릅니다./p

p/p

p/p

p온 동네물이 다 이곳을 거쳐 큰 개울물로 흘러가는데 동네에는 도로주변/p

p배수로 정비를 끝마쳤습니다. 그런데 정작 동네물이 다 지나가는 개천은 정비가 되지 않아 비만 오면 우리밭이며 논이 움푹움푹 패이고/p

p바로 위의 밭이 무너질까봐 걱정이 이만저만이 아닙니다./p

p며칠전 태풍에 윗집 언덕이 무너져서 방천이 났습니다./p

p논이 완전 물웅덩이가 되어 버렸습니다./p

p/p

p사업비용이 많이 들어가는건 알지만 몇십년동안 정비한번 안한다는것은 말이 안된다고 생각합니다. 붙임 파일 보시고 제발 제발 정비 부탁드립니다./p

p/p

p군수님도 새로 취임하셨다고 하니 다시한번 실낱같은 희망을 품어봅니다./p

p/p

p수고하세요./p",2018-07-06,,2018-07-17,대외협력,처리완료,오목로
167,보건소 약봉지 개선 건의,"p노고가 많으십니다./p

p보건소 진료 후 받게되는 약봉지 일반병원 진료 후 약국에서 받는 약봉지의 차이점이 있습니다./p

p일반약국에서 받는 약봉지의 경우 수령하게 되는 약성분과 투약횟수 등이 상세히 적혀있습니다. 개인이 어떤 약을 복용하는지 자세히 알 수 있습니다./p

p장수군 보건소 진료 후 받게되는 약봉지 경우 수령하는 약에 대한 정보가 전혀 없습니다./p

p약봉지를 개선할 수 있다면 처방받는 약에 대해 프린트를 하여 개인에게 주는 방법도 있을 것입니다./p

p의약정보는 반드시 개인에게 알려주어야 한다고 생각합니다./p

p사진은 일반약국에서 수령받는 약봉지를 첨부하였습니다./p",2017-08-08,,2017-08-09,대외협력,처리완료,오목로
168,석정단지내 주차장 쓰레기 처리 바랍니다,석정 시니어스 타워 공사후에 석정힐스 2단지 뒤 공공주차장에 쓰레기를 그대로 방치하고 있습니다 석정지역은 관광지로 외부인들이 많이 방문하는 곳이라 고창 이미지가 더러운 이미지로 보여질 수 있고 또한 쓰레기로 먼지도 많이 날립니다 깨끈한 고창 이미지를 생각해서라도 빠른 시간내로 쓰레기를 깨끗하게 치워주시기를 부탁드립니다,2018-07-29,2018-07-29,2018-08-03,환경시설사업소,처리완료,오목로
169,"[안전신고] (SPP-1603-0199356)자동차는 모르겠는데, 자전거나 오토바이 같은 경우는 홈"," 전라북도 부안군 행안면 진동리 126-47자동차는 모르겠는데, 자전거나 오토바이 같은 경우는 홈이 깊어서 낙차할 수 있을거 같습니다.",2016-03-28,,2016-04-05,건설교통과,처리완료,오목로
170,[안전신고] 도로 우수맨홀주변 깨짐,: 전라북도 부안군 부안읍 서문로 28 [처리요청기관]:부안군도로 우주맨홀 주변 도로깨짐이 심해서 차량 소통시 덜컹거림이 심함,2016-04-27,,2016-04-28,맑은물사업소,처리완료,오목로
171,불법 노점상 단속 부탁드립니다,"안녕하세요 수협/홈마트 사거리 불법 노점상 단속 부탁드립니다 해당 지역 과일 노점상 차량때문에 많은 불편함이 있습니다 도로교통법 제32조(정차 및 주차의 금지)를 살펴보면, 모든 차의 운전자는 교차로, 횡단보도 건널목이나 보도와 차도가 구분된 도로의 보도, 교차로의 가장자리 또는 도로의 모퉁이로부터 5미터 이내의 곳, 지방경찰청장이 도로에서의 위험을 방지하고 교통의 안전과 원활한 소통을 확보하기 위하여 필요하다고 인정하여 지정한 곳 등에서는 차를 정차 또는 주차시켜서는 아니됩니다. 해당 차량은 사거리 코너 부위 및 횡단보도 구역에 불법 주정차 및 불법 노점을 하고 있습니다 횡단보도 근처 이면 차량 뒤에 다른 차 주차 못하게 아동용 의자를 도로에 세워 놓고 있습니다해당 차량으로 인해 교통 체증 및 사고 우려가 있습니다 빠른 조치 부탁 드립니다",2016-08-29,,2016-09-01,건설교통과,처리완료,오목로
172,(SPP-1703-2001043)맨홀 함몰로 지나가는 차량이나 사람이 상해를 입을수,전라북도 부안군 부안읍 서외리 44-1맨홀 함몰로 지나가는 차량이나 사람이 상해를 입을수 있음,2017-03-20,,2017-03-23,건설교통과,처리완료,오목로
173,(SPP-1703-2301156)안전표지 바람에 찢어졌는데 다시 달아주세요,전라북도 부안군 변산면 격포리 641안전표지 바람에 찢어졌는데 다시 달아주세요,2017-03-23,,2017-04-04,문화관광과,처리완료,오목로
174,(SPP-1703-2301170)길 바닥이 파손되었어요 수리해주세용,전라북도 부안군 계화면 계화리 69길 바닥이 파손되었어요 수리해주세용,2017-03-23,,2017-04-04,문화관광과,처리완료,오목로
175,하천에서의 야영 및 취사 제한 구간에 대한 추가질의,"안녕하세요.하천에서의 야영 및 취사 제한 구간 질의에 대한 부안군(2AA-1703-195691) 답변에 이해가 안돼 재 질의합니다.하천법 제46조 6호, 제47조의 규정에 따라 대통령령으로 정하는 바에 따라 시·도지사가 지정·고시하는 지역에서 야영행위 또는 취사행위를 금지할 수 있지만, 하천관리법시행령 제51조 1항의 규정에서는 법 제46조제6호 각 목에 따른 행위를 금지하는 지역(이하 """"금지지역""""이라 한다)을 지정하려는 경우에는 1호~6호의 사항을 고려하도록 되어 있습니다.질의 1) 명확히 하고자 다시 확인 질의합니다. 부안군내 전 하천이 하천법 제46조, 47조 규정에 따라 전 하천에서 취사 및 야영행위 금지구간으로 지정.고시되었나요?질의 2) 공고된 금지지역의 양측과 중간지점에 공고 내용을 알리는 안내판을 설치하였나요?-금지된 줄도 모르고 있다가 단속을 당하면 당황스럽겠죠!-하천관리법시행령 제51조 1항의 규정에 하천에서의 야영 및 취사 금지시 5가지의 사항을 고려하여 금지대상 구간을 지정토록 하였는데 부안군내 하천의 경우 전 하천이 모두 이에 해당하는는 점이 놀랍네요.질의 3) 하천법 제46조, 제47조, 동법시행령 제 51조, 52조의 규정에 따라 하천에서의 야영 및 취사 금지시 시·도의 공보에 공고하고 그 내용을 해당 지역에서 발간되는 일간신문에 공고하도록 되어 있는데 그 공고 일자를 알고 싶습니다. 질의 4) 부여군 홈페이지에서 하천내 야영과 취사가 금지 구간으로 지정.고시된 내용을 찾는 방법을 알려주세요.",2017-04-05,,2017-04-13,안전총괄과,처리완료,오목로
176,가스가게에 대하여...,안녕하세요! 현제 부안군에 정상적인 허가를받고 영업하고있는 가스업체에(가게)에 대하여 알고십습니다. 1.가스업체명 2.가스업체의 주소 3.가스업체의 전화번호 위와같이 3가지의 궁금한 점이 있습니다. 자세한답변 주십시오,2017-04-14,,2017-04-19,미래창조경제과,처리완료,오목로
177,(SPP-1708-0800126)불이 안 들어와요 * 첨부파일촬영시간 안내(안전신문고,전라북도 부안군 부안읍 행중리 123-2불이 안 들어와요*  *(1/1) G: 2017/08/08 09:33:32G:*,2017-08-08,,2017-08-14,부안읍,처리완료,오목로
178,(SPP-1708-1400112)보안등 683 불이 안들어옵니다 * 첨부파일촬영시간,전라북도 부안군 동진면 당상리 9-4보안등 683불이 안들어옵니다*  *(1/1) G: 2017/08/10 14:09:43G:*,2017-08-14,,2017-08-17,동진면,처리완료,오목로
179,(SPP-1710-3000940)오래전 폭설로 양계장이 무너지고 그로인한 폐기물이 쌓여,전라북도 부안군 부안읍 연곡리 489-5오래전 폭설로 양계장이 무너지고그로인한 폐기물이 쌓여있습니다그때 당시 군청에서 처리해 주신다고구두로 약속을 했었는데처리가 이루어지지 않고 있습니다악취와 환경적으로도좋지않아 거동이 불편하신 부모님은처리를 하지 못하고 계신 상황입니다조치좀해주세요*  *(1/2) G: 2017/10/29 18:04:38(2/2) G: 2017/10/29 18:04:25G:*,2017-10-30,,2017-11-07,친환경축산과,처리완료,오목로
180,(SPP-1711-0400245)한달이상 오토바이가 길가에 방치되어 통행에 방해가 되고,전라북도 부안군 부안읍 동중리 219-9한달이상 오토바이가 길가에 방치되어 통행에 방해가 되고 위험을 야기하고 있습니다. 조속한 처리 요쳉드립니다.*  *(1/2) G: 2017/11/04 15:50:59(2/2) G: 2017/11/04 15:50:53G:*,2017-11-04,,2017-11-07,건설교통과,처리완료,오목로
181,(SPP-1711-1500846)가로등점멸 * 첨부파일촬영시간 안내(안전신문고 운영관,전라북도 부안군 부안읍 선은리 660-4가로등점멸*  *(1/1) C: 2017/11/15 23:11:05G:*,2017-11-15,,2017-11-17,부안읍,처리완료,오목로
182,1AA-1708-254098 민원처리에 관한 후속조치가 없네요.,"몇 달 전에 1AA-1708-254098 민원을 제기하였습니다.이후 현장에 공무원분들이 방문해서 매우 짧은 상황파악만 하고 민원을 완료시켰네요.제가 느끼는 불만이 뭐겠습니까? 당연히 실제로 후속조치가 이루어지지 않았다는 점이죠.이후 연락을 준다고 하셨던거 같은데 아직도 연락이 없는 것을 보니, 여러분들은 이 문제를 해결할 생각이 없으신 것 같다고 생각하게 됩니다.그런 이유로 덕분에 아직도 불편은 현재진행중이고, 미래에도 지속되겠네요. 여러분들의 그 """"노오력""""에 참 감사합니다.결국 저는 공무원들이 국민의 불편에 귀를 기울인다고 하는 소리는 그저 입에 발린 거짓말에 불과하다는 사실을 알게되었네요. ㅎㅎㅎ이런말 하는 저도 짜증나고, 이 민원 보게되는 담당자분도 짜증날거 압니다.그래도 담당자분은 이 민원을 보는 순간만 나쁘고 처리완료만 누르고 후속조치 안하면 그만 아닙니까?저희 가족은 당신께서 처리완료만 누르고 끝낸 이 민원으로 심리적으로도 재산적으로도 피해를 누적해서 보고 있습니다.이 민원을 처리하실 담당자분의 남은 공무원 생활에 평화와 안녕이 있기를 기원하며, 문제의 신속한 해결을 바랍니다.",2017-12-13,,2017-12-21,건설교통과,처리완료,오목로
183,(SPP-1801-2600077)처리바래요 * 첨부파일촬영시간 안내(안전신문고 운영관,전라북도 부안군 부안읍 서외리 444-3처리바래요*  *(1/1) C: 2018/01/26 09:44:21G:  *,2018-01-26,,2018-02-02,푸른도시과,처리완료,오목로
184,[생활불편신고]장애인 전용주차구역 불법주차,<장애인 전용주차구역 불법주차> 이분차량 제가만 6번째신고거든요고지서보내시는지 직접 국민신문고나 권익위원회확인하겠습니다..보통사람은 이렇게당당히 주차못합니다. (1/1) A : 2018.01.31 16:52:05 A :  : I :  .[ (02-2195-1129~30)],2018-01-31,,2018-02-01,주민행복지원실,처리완료,오목로
185,(SPP-1802-0800383)버스정류장 보수요청,전라북도 부안군 부안읍 서외리 550-3버스정류장 보수요청,2018-02-08,,2018-02-17,건설교통과,처리완료,오목로
186,현수막철거요청,: 전라북도 부안군 보안면 하입석리 693-3하입석마울 앞 현수막 한쪽줄이 끊어져 위험함-------------------------------------------------------------------------------------------------------------------------○ .20180219_142049_1519024250066_resized.jpg,2018-02-19,,2018-02-20,보안면,처리완료,오목로
187,(SPP-1802-2700458)가로등이 삐딱하게 위험해요 * 첨부파일촬영시간 안내(,전라북도 부안군 변산면 격포리 284-45가로등이 삐딱하게 위험해요*  *(1/1) G: 2018/02/19 14:54:51G:  *,2018-02-27,,2018-03-08,변산면,처리완료,오목로
188,(SPP-1803-1300964)도보에 자전거와 적재물 * 첨부파일촬영시간 안내(안전,전라북도 부안군 부안읍 봉덕리 772-3도보에 자전거와 적재물*  *(1/1) C: 2018/03/13 16:44:41G:  *,2018-03-13,,2018-03-20,건설교통과,처리완료,오목로
189,[생활불편신고]장애인 전용주차구역 불법주차,<장애인 전용주차구역 불법주차> 장애인전용주차구역불법주차를계속하여신고함 (1/1) A : 2018.03.21 16:45:40 A :  : I :  .[  : 1522-0660 ()],2018-03-21,,2018-03-23,주민행복지원실,처리완료,오목로
190,(SPP-1803-2601421)가로등 고장 (석정로 108) * 첨부파일촬영시간 안,전라북도 부안군 부안읍 봉덕리 561가로등 고장 (석정로 108)*  *(1/1) C: 2018/03/26 23:21:46G:  *,2018-03-26,,2018-03-29,부안읍,처리완료,오목로
191,(SPP-1803-2601430)가로등 고장(봉동길 01) * 첨부파일촬영시간 안내(,전라북도 부안군 부안읍 봉덕리 633-3가로등 고장(봉동길 01)*  *(1/1) C: 2018/03/26 23:37:39G:  *,2018-03-26,,2018-03-29,부안읍,처리완료,오목로
192,(SPP-1804-2600822)가로등 고쳐주세요 * 첨부파일촬영시간 안내(안전신문고,전라북도 부안군 부안읍 봉덕리 561가로등 고쳐주세요*  *(1/1) C: 2018/04/26 22:30:36G:  *,2018-04-26,,2018-05-05,부안읍,처리완료,오목로
193,(SPP-1805-0300002)가로등 불이 안켜져요 * 첨부파일촬영시간 안내(안전신,전라북도 부안군 부안읍 서외리 42-49가로등 불이 안켜져요*  *(1/1) G: 2018/05/03 00:03:47G:  *,2018-05-03,,2018-05-05,부안읍,처리완료,오목로
194,(안전보안관)(SPP-1806-2500367)하수구 정비좀해주세요 * 첨부파일촬영시간 안내(안전신,전라북도 부안군 부안읍 봉덕리 574-91하수구 정비좀해주세요*  *(1/2) C: 2018/06/25 15:28:58(2/2) C: 2018/06/25 15:29:06G:  *,2018-06-25,,2018-06-26,민원소통과,처리완료,오목로
195,[생활불편신고]불법광고물,<불법광고물> 도로 불법 광고물 부안통신 핸드폰 매장 (1/3) A : 2018.08.14 17:38:04 (2/3) A : 2018.08.14 17:38:17 (3/3) A : 2018.08.14 17:38:28 A :  : I :  .[  : 1522-0660 ()],2018-08-14,,2018-08-24,부안읍,처리완료,오목로
196,[생활불편신고]불법 주차,<불법 주차> 불법주차 (1/2) A : 2018.09.01 13:34:48 (2/2) A : 2018.09.01 13:35:29 A :  : I :  .[  : 1522-0660 ()],2018-09-01,,2018-09-11,건설교통과,처리완료,오목로
197,(SPP-1809-2700651)가로등 불이 꺼저있어요 * 첨부파일촬영시간 안내(안전,전라북도 부안군 백산면 금판리 785-8가로등 불이 꺼저있어요*  *(1/1) C: 2018/09/27 17:11:15G:  *,2018-09-27,,,백산면,처리완료,오목로
198,(SPP-1611-2200255)가로등미점등,전라북도 부안군 줄포면 줄포리 732-25가로등미점등,2016-11-22,,2016-11-25,줄포면,처리완료,국회대로
199,(SPP-1804-2600746)쓰레기 치워주세요 * 첨부파일촬영시간 안내(안전신문고,전라북도 부안군 부안읍 봉덕리 769-8쓰레기 치워주세요*  *(1/1) C: 2018/04/26 21:24:05G:  *,2018-04-26,,2018-05-09,친환경축산과,처리완료,국회대로
200,(SPP-1802-0100164)도로파손 고쳐주세요 * 첨부파일촬영시간 안내(안전신문,전라북도 부안군 부안읍 봉덕리 632-1도로파손 고쳐주세요*  *(1/2) C: 2018/02/01 13:05:11(2/2) C: 2018/02/01 13:05:20G:  *,2018-02-01,,2018-02-09,건설교통과,처리완료,당산로42길
201,초미세 중금속 발암물질,안녕하세요익산시민입니다익산이  초미세 전국1위입니다답답해서 기다리다 지쳐 글올립니다익산시는 대책은 마련하고 있는건가요?발암물질 심각한거 아는 저희들만 애가  타는겁니까?아이들 기관에 보낼때마다 전전긍긍합니다아이들어린이집 유치원.초.중고등학교공기청정기  지급및 교육자분들의 중금속 발암물질의심각성을 교육및 인지시켜주세요부디 예산이없다는 얘기하지말아주시고하루이틀 참아서 해결될거라면이렇게 글올리않습니다앞으로도 계속해서  진행이될 중금속발암물질로부터 지켜주세요글을 읽고계시는 분들의  가족분들의 건강을 지켜주세요,2018-03-30,2018-03-30,2018-04-05,녹색환경과,처리완료,도림로
